"House Price Index by region; existing own homes; 2010 = 100"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Gelderland (PV)";"2012 3rd quarter";"87.7";"-4.5";"-8.9";"2348";"-40.4";"-30.7"
"Gelderland (PV)";"2012 4th quarter";"87.4";"-0.4";"-7.7";"3874";"65.0";"14.7"
"Gelderland (PV)";"2012";"90.1";"-6.9";"-6.9";"12752";"-1.9";"-1.9"
"Gelderland (PV)";"2013 1st quarter";"85.5";"-2.2";"-8.7";"2503";"-35.4";"-3.4"
"Gelderland (PV)";"2013 2nd quarter";"83.4";"-2.4";"-9.2";"2381";"-4.9";"-39.6"
"Gelderland (PV)";"2013 3rd quarter";"83.8";"0.5";"-4.5";"3182";"33.6";"35.5"
"Gelderland (PV)";"2013 4th quarter";"82.8";"-1.1";"-5.2";"3994";"25.5";"3.1"
"Gelderland (PV)";"2013";"83.9";"-6.9";"-6.9";"12060";"-5.4";"-5.4"
"Gelderland (PV)";"2014 1st quarter";"83.2";"0.5";"-2.6";"3090";"-22.6";"23.5"
"Gelderland (PV)";"2014 2nd quarter";"83.5";"0.3";"0.1";"3663";"18.5";"53.8"
"Gelderland (PV)";"2014 3rd quarter";"83.9";"0.4";"0.1";"4259";"16.3";"33.8"
"Gelderland (PV)";"2014 4th quarter";"83.9";"0.0";"1.2";"5465";"28.3";"36.8"
"Gelderland (PV)";"2014";"83.6";"-0.3";"-0.3";"16477";"36.6";"36.6"
"Gelderland (PV)";"2015 1st quarter";"84.7";"1.0";"1.7";"3760";"-31.2";"21.7"
"Gelderland (PV)";"2015 2nd quarter";"84.6";"-0.1";"1.3";"4331";"15.2";"18.2"
"Gelderland (PV)";"2015 3rd quarter";"85.7";"1.4";"2.2";"5483";"26.6";"28.7"
